# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1928.2000 A124 2000000 1 156.2000 Street_10 Street_1 297 N Street_10->Street_1
1947.3000 A127 2000000 1 128.3000 Avenue_15 Avenue_18 297 N Avenue_15->Avenue_18
1967.9000 A111 2000000 2 374.9000 Avenue_15 Avenue_19 293 N Avenue_15->Street_9->Avenue_19
1988.2000 A117 2000000 3 307.2000 Station1_0 Street_3 294 N Station1_0->Street_6->Street_7->Street_3
1998.8000 A112 2000000 2 388.8000 Avenue_14 Avenue_11 293 N Avenue_14->Street_10->Avenue_11
2013.4000 A139 2000000 1 38.4000 Street_8 Street_3 299 N Street_8->Street_3
2028.8000 A143 2000000 1 1.8000 Avenue_19 Street_7 299 N Avenue_19->Street_7
2074.2000 A134 2000000 1 159.2000 Avenue_13 Avenue_17 297 N Avenue_13->Avenue_17
2079.5000 A104 2000000 2 586.5000 Avenue_19 Street_3 290 N Avenue_19->Street_2->Street_3
2089.1000 A114 2000000 4 453.1000 Avenue_12 Station1_0 292 N Avenue_12->Avenue_14->Street_10->Street_1->Station1_0
2090.6000 A82 2000000 2 912.6000 Street_10 Station1_0 284 N Street_10->Street_1->Station1_0
2092.1000 A94 2000000 1 749.1000 Station1_0 Street_1 287 N Station1_0->Street_1
2156.1000 A150 2000000 1 30.1000 Avenue_16 Avenue_15 299 N Avenue_16->Avenue_15
2174.4000 A75 2000000 4 1099.4000 Street_10 Avenue_14 281 N Street_10->Street_1->Street_3->Street_8->Avenue_14
2183.8000 A92 2000000 2 866.8000 Street_8 Avenue_12 285 N Street_8->Avenue_14->Avenue_12
2189.8000 A133 2000000 3 289.8000 Street_1 Street_7 295 N Street_1->Street_2->Street_3->Street_7
2282.8000 A105 2000000 4 776.8000 Avenue_11 Avenue_19 287 N Avenue_11->Avenue_15->Avenue_16->Avenue_15->Avenue_19
2288.3000 A147 2000000 2 199.3000 Avenue_17 Avenue_11 296 N Avenue_17->Avenue_13->Avenue_11
